Id,Title,Description,Link,Image link,Price,Availability
CBS1,100% Cashmere Bed Socks - Dark Grey,"They say true comfort is one of life’s greatest pleasures. And our pure cashmere socks will be one of the most decadent gifts you ever treat your feet to! Created from the finest cashmere, these socks are designed to be durable and stand the test of the time.",https://www.lasororite.com/products/cashmere-bed-socks?variant=23620500750394,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Socks_civer_image.jpg?v=1603280823,39.99 GBP,out of stock
CBS2,100% Cashmere Bed Socks - Light Grey,"They say true comfort is one of life’s greatest pleasures. And our pure cashmere socks will be one of the most decadent gifts you ever treat your feet to! Created from the finest cashmere, these socks are designed to be durable and stand the test of the time.",https://www.lasororite.com/products/cashmere-bed-socks?variant=23620505567290,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_sock.jpg?v=1603280823,39.99 GBP,in stock
